,comment,taste,service,mood,cospa,negaposi
0,料理の質も然る事乍ら接客もとてもハイレベルで流石だなと思いました。あまりこのような場には慣れてない為緊張しましたが、また利用させて頂きます。ありがとうございました。,4,5,5,5,0.0
1,"とっても落ち着いた雰囲気なのに、子連れでも利用しやすくてありがたかったです。
子供のキッズメニューはお手頃価格で子供の好むものも多数用意されていました。また、子供用のドリンクにはフタがあるタイプで提供されるのでこぼす心配がなく、安心できました。
入店するとすぐに子供のチェアのことも聞いてくださいました。また子供に提供された野菜チップスは健康的でおいしかったです。
ディナーコースですが、盛り付け、味においても最高だと感じました。
鹿肉をいただきましたが、とってもやわらかく、今まで味わったことのない食感でした。
また、事前にお伝えしておいた夫のお誕生日にプレートとコメントをつけてくださり、一緒にお祝いができて嬉しかったです＾＾
良い経験をさせていただいたので、またぜひ伺いたいと思っています。",5,3.5,4,3,0.5925925925925926
2,今回のプランで、ワンドリンク付きオレンジジュース等選べるとなっていたのに、こどもがいるにも関わらずワインかノンアルコールワインかの案内だけで、子どももノンアルコールワインを頂くことになりました。こどもにはジュースを案内して頂きたかったです。こどもの誕生日なのに残念でした。,3,2,3,3,-0.3333333333333333
3,お料理はとても美味しく、提供テンポもよかったです。また記念日には利用したいと思いました。,5,5,5,3,0.5
4,雰囲気がとても良かったです,3,3,5,4,1.0
5,"妻の誕生日に一生に一回位はと奮発して初めて利用させて頂きました。
妊娠中の為、色々食べられない物も多く丁寧に料理の変更対応して頂きました。
一生に一回はと思っていましたが、妻が毎年来たいとの事でした(笑)
また必ず利用したいと思います。",5,5,5,4,0.75
6,最高のお料理をこのコロナ禍にも拘らず、安心安全に提供頂き深謝します。娘たちへのプレートも有難う御座います。流行の兆しが日々厳しさを増していますが、頑張って下さい。又伺います。,5,5,5,5,0.6666666666666666
7,"数回行かせていただいておりましたが、今回は以前に行った時のようなリッツ・カールトンならではのような空気はなく、コロナ渦の影響か空気感も良くなく、スタッフの対応にしても新人研修でもされていたようにゲストに目の届いていない無いの対応でした。
料理については、お肉料理についてはとても柔らかく良い質のものでしたが、魚料理は魚の臭みがあったりしておりました。
デザートについては、オレンジの味が強すぎ、口触りが気になってしまいました。
これまでも何度か寄せていただきましたが、今回はとても残念な料理と対応でした。",2.5,1,3,1,0.16666666666666663
8,"期待通りでした。夫婦のお祝いの場面でしたが、落ち着いた雰囲気の中、良いひと時になりました。隣席のお客様の子供さん方がはしゃいでおられたのが少し気になりました。
ともあれ、また利用したいと思います。",3.5,3.5,4.5,3.5,0.5
9,レストランの雰囲気、料理の内容も味もプレゼンテーションも大満足でした。当初はディナーだけの予定でしたが、宿泊プランを見るとダイニングクレジットが付いてくるのと、地域共通クーポン配布されるタイミングでしたのでかなりお得にホテルダイニングとホテルステイを楽しめました。,5,5,5,5,1.0
10,やはり雰囲気はとても良かったです。マカロンのお土産付きでコスパは良しだと思います。,2.5,2.5,5,3.5,1.0
11,ここのレストランは数回目の利用ですが、今回も夷川邸を移設した席もあり優雅な雰囲気、落ち着いた中で美味しくイタリアンを頂くことが出来ました。ただ、個人的には折角のイタリアンなのでアルデンテのスパゲティなども入れて欲しかったと思いました。接客にも概ね満足しましたが忙しかったようで細かな気遣いは他のリッツカールトンホテルの気配りには至っていませんでした。,4,4,4.5,3,0.4444444444444444
12,"さすがリッツカールトンのダイニング、
京都ならではの和モダンとヨーロッパの伝統が、
料理にも内観にも見事に融合してました。
日本のイタリアンフレンチのあるべき最高の形と思います。非常に抑えられた豪華さがありました。",5,5,5,3,0.8
